id_asegurado,segmento,ciudad,antiguedad_meses,score_cliente,telefono,en_lista_restrictiva,numero_polizas,reclamos_ultimos_12_meses,mora_actual
A00060,Masivo,Riobamba,64,892,0989795010,False,2,4,True
A00061,Masivo,Riobamba,21,729,0998231132,False,2,4,False
A00062,Corporativo,Manta,53,621,0942035886,False,2,5,False
A00063,Corporativo,Loja,34,607,0971367643,False,1,5,False
A00064,Corporativo,Guayaquil,3,769,0993370583,False,1,2,False
A00065,Masivo,Guayaquil,138,518,0977898694,False,1,2,False
A00066,Corporativo,Cuenca,90,370,0942787299,False,2,6,False
A00067,Corporativo,Manta,41,748,0982909480,False,1,3,False
A00068,Corporativo,Riobamba,168,841,0911049999,False,1,2,False
A00069,Corporativo,Guayaquil,35,570,0925492573,False,2,4,True
A00070,Masivo,Portoviejo,40,578,0947816686,False,2,1,False
A00071,Preferente,Machala,53,570,0977834855,False,2,7,False
A00072,Pyme,Manta,14,394,0995132217,False,2,4,False
A00073,Pyme,Manta,12,303,0954769200,False,1,3,False
A00074,Preferente,Manta,42,752,0984045292,False,2,2,False
A00075,Pyme,Portoviejo,3,414,0920099059,False,2,2,True
A00076,Preferente,Portoviejo,10,678,0988183110,False,1,1,False
A00077,Preferente,Loja,33,342,0951373735,False,1,2,False
A00078,Corporativo,Quito,92,515,0943491314,False,2,5,False
A00079,Masivo,Machala,144,716,0993303777,False,2,1,False
A00080,Preferente,Ambato,42,481,0965337219,False,1,3,False
A00081,Masivo,Cuenca,86,721,0999913412,False,1,1,False
A00082,Preferente,Manta,41,410,0961343880,False,2,0,False
A00083,Masivo,Santo Domingo,57,504,0971780854,False,1,0,False
A00084,Corporativo,Manta,59,528,0913176186,False,1,0,False
A00085,Preferente,Loja,85,585,0919317495,False,1,1,True
A00086,Corporativo,Machala,165,821,0963643924,False,2,4,True
A00087,Corporativo,Quito,30,567,0933966966,False,1,2,False
A00088,Corporativo,Quito,28,744,0956397338,False,1,1,False
A00089,Corporativo,Loja,156,823,0925521714,False,1,1,False
A00090,Pyme,Riobamba,49,560,0915957459,False,2,2,False
A00091,Pyme,Quito,134,851,0936445607,False,2,3,False
A00092,Corporativo,Loja,18,638,0993638503,False,2,0,False
A00093,Corporativo,Guayaquil,77,819,0951511484,False,2,3,False
A00094,Pyme,Machala,104,602,0984411983,False,1,2,False
A00095,Preferente,Ambato,108,688,0933357554,False,2,3,False
A00096,Corporativo,Loja,141,300,0950785405,False,1,0,False
A00097,Corporativo,Ambato,111,893,0991424737,False,1,2,False
A00098,Corporativo,Santo Domingo,114,752,0938682516,False,2,2,True
A00099,Pyme,Cuenca,169,386,0948089166,False,2,9,True
A00100,Corporativo,Guayaquil,61,617,0940150759,False,1,2,False
A00101,Preferente,Cuenca,7,347,0942862209,False,2,0,False
A00102,Pyme,Riobamba,19,766,0965625330,False,2,4,False
A00103,Preferente,Loja,127,709,0942747037,False,2,3,False
A00104,Preferente,Quito,28,735,0939372360,False,1,4,False
A00105,Preferente,Portoviejo,119,351,0984813739,False,2,4,False
A00106,Preferente,Guayaquil,117,436,0972363359,False,1,3,False
A00107,Corporativo,Santo Domingo,157,816,0967276174,False,1,1,False
A00108,Pyme,Cuenca,122,760,0944788100,False,1,2,False
A00109,Preferente,Manta,134,796,0994120751,False,1,2,True
A00110,Preferente,Manta,113,379,0948349783,False,2,1,False
A00111,Preferente,Manta,86,627,0982498004,False,1,1,False
A00112,Masivo,Cuenca,39,536,0961410126,False,1,1,False
A00113,Preferente,Ambato,17,724,0964707061,False,1,1,False
A00114,Corporativo,Portoviejo,120,725,0918357162,False,1,2,False
A00115,Preferente,Loja,100,898,0912621534,False,1,1,False
A00116,Pyme,Santo Domingo,2,660,0950079111,False,1,2,False
A00117,Pyme,Loja,138,859,0990967191,False,1,1,False
A00118,Preferente,Santo Domingo,57,579,0968496914,False,1,2,False
A00119,Pyme,Quito,100,644,0999774697,False,2,3,False
A00120,Pyme,Cuenca,120,430,0993517915,False,2,2,False
A00121,Masivo,Loja,152,877,0998986321,False,2,3,False
A00122,Masivo,Guayaquil,165,738,0928213276,False,2,4,False
A00123,Pyme,Cuenca,13,566,0960882459,False,2,3,True
A00124,Corporativo,Ambato,117,634,0955298556,False,2,1,False
A00125,Pyme,Manta,108,558,0920993268,False,2,2,True
A00126,Pyme,Quito,139,353,0956970882,False,1,0,False
A00127,Preferente,Guayaquil,167,341,0914164775,False,2,1,False
A00128,Preferente,Ambato,6,456,0942016960,False,2,7,True
A00129,Preferente,Santo Domingo,172,417,0985694715,False,1,2,True
A00130,Preferente,Santo Domingo,180,562,0959512272,False,2,2,False
A00131,Preferente,Riobamba,156,417,0931980274,False,2,2,False
A00132,Corporativo,Guayaquil,149,326,0951870192,False,2,5,False
A00133,Pyme,Loja,51,377,0989470029,False,2,1,False
A00134,Preferente,Guayaquil,179,608,0990585882,False,2,7,False
A00135,Masivo,Riobamba,11,655,0981503856,False,2,2,False
A00136,Pyme,Machala,18,818,0996911784,False,2,4,True
A00137,Corporativo,Quito,108,801,0924165187,False,2,3,False
A00138,Pyme,Machala,163,770,0930534124,False,1,0,False
A00139,Pyme,Cuenca,134,576,0992666356,False,1,1,False
A00140,Pyme,Santo Domingo,112,574,0953258988,False,2,1,True
A00141,Preferente,Guayaquil,72,761,0942730796,False,2,3,False
A00142,Pyme,Riobamba,157,688,0955150390,False,2,4,False
A00143,Masivo,Santo Domingo,84,486,0975437844,False,2,3,False
A00144,Preferente,Machala,67,648,0947535126,False,1,5,False
A00145,Corporativo,Portoviejo,3,829,0935643159,False,1,1,False
A00146,Masivo,Ambato,105,800,0984514489,False,1,3,False
A00147,Preferente,Santo Domingo,166,802,0970152969,False,1,0,False
A00148,Masivo,Guayaquil,76,526,0964277800,False,2,3,False
A00149,Preferente,Manta,170,895,0959529086,False,2,5,False
A00150,Pyme,Portoviejo,136,652,0967110154,False,2,3,True
A00151,Corporativo,Machala,180,764,0946361787,False,2,3,False
A00152,Corporativo,Manta,60,423,0935848226,False,2,4,False
A00153,Corporativo,Guayaquil,138,489,0935708194,False,2,3,True
A00154,Preferente,Santo Domingo,71,837,0990099897,False,1,0,False
A00155,Corporativo,Guayaquil,50,603,0940532273,False,2,4,True
A00156,Corporativo,Cuenca,78,314,0981690398,False,1,1,False
A00157,Preferente,Manta,12,355,0984270583,False,1,2,False
A00158,Corporativo,Cuenca,164,802,0923769080,False,1,1,False
A00159,Masivo,Riobamba,73,780,0974251933,False,1,2,False
A00160,Pyme,Machala,48,352,0943887075,False,1,0,False
A00161,Pyme,Guayaquil,17,710,0976001106,False,1,0,True
A00162,Masivo,Riobamba,162,354,0930364454,False,1,2,False
A00163,Preferente,Riobamba,78,387,0943311626,False,1,0,False
A00164,Masivo,Portoviejo,107,531,0980138498,False,2,3,True
A00165,Pyme,Santo Domingo,114,604,0988990506,False,1,0,False
A00166,Pyme,Manta,146,361,0991823275,False,1,0,False
A00167,Masivo,Ambato,161,516,0945520201,False,2,2,False
A00168,Masivo,Cuenca,62,477,0984087145,False,1,2,False
A00169,Masivo,Cuenca,1,718,0970465583,False,1,1,False
A00170,Pyme,Manta,9,537,0948668783,False,1,1,False
A00171,Corporativo,Santo Domingo,19,539,0945507920,False,1,1,False
A00172,Preferente,Loja,30,857,0940173413,False,2,2,False
A00173,Preferente,Manta,37,373,0918004482,False,1,3,False
A00174,Preferente,Manta,153,882,0948736657,False,1,2,False
A00175,Pyme,Guayaquil,120,611,0964023778,False,2,6,False
A00176,Corporativo,Portoviejo,139,805,0968755000,False,1,1,True
A00177,Masivo,Riobamba,11,742,0953261270,False,2,4,False
A00178,Corporativo,Quito,24,534,0987201917,False,1,0,False
A00179,Masivo,Manta,148,341,0933513701,False,2,4,False
A00180,Pyme,Portoviejo,167,752,0947333543,False,1,3,False
A00181,Preferente,Riobamba,112,803,0922246348,False,1,0,False
A00182,Pyme,Machala,105,641,0953091709,False,1,1,False
A00183,Masivo,Cuenca,85,721,0976500726,False,2,3,False
A00184,Corporativo,Loja,141,337,0971045700,False,2,6,False
A00185,Masivo,Machala,65,631,0925558733,False,2,5,False
A00186,Pyme,Portoviejo,1,855,0972005415,False,1,1,False
A00187,Pyme,Quito,49,830,0958557203,False,2,2,False
A00188,Pyme,Santo Domingo,14,508,0945843681,False,2,2,True
A00189,Preferente,Manta,113,796,0926297533,False,1,2,False
A00190,Masivo,Riobamba,62,462,0951708177,False,2,0,False
A00191,Masivo,Portoviejo,105,395,0940158811,False,2,5,False
A00192,Masivo,Santo Domingo,31,457,0976890827,False,2,5,False
A00193,Corporativo,Portoviejo,70,725,0974759996,False,2,5,True
A00194,Pyme,Ambato,117,864,0929413516,False,1,2,False
A00195,Pyme,Ambato,154,820,0928321839,False,2,7,False
A00196,Masivo,Manta,107,648,0978147397,False,2,3,False
A00197,Corporativo,Quito,73,605,0988777447,False,2,4,False
A00198,Pyme,Cuenca,115,851,0975007200,False,2,1,False
A00199,Corporativo,Machala,142,856,0960628276,False,1,1,False
A00200,Pyme,Machala,49,544,0986745380,False,1,0,False
A00201,Pyme,Ambato,106,344,0952704903,False,1,1,False
A00202,Pyme,Loja,99,455,0976481885,False,1,0,False
A00203,Masivo,Cuenca,129,639,0923470708,False,2,5,False
A00204,Pyme,Guayaquil,135,767,0912059919,False,2,2,True
A00205,Preferente,Loja,168,458,0920043277,False,1,2,True
A00206,Pyme,Manta,87,707,0997219599,False,2,3,False
A00207,Masivo,Machala,173,846,0961003997,False,1,1,True
A00208,Corporativo,Santo Domingo,139,336,0992874006,False,2,2,False
A00209,Masivo,Ambato,162,594,0940532691,False,1,2,True
A00210,Masivo,Loja,26,402,0969549527,False,1,1,False
A00211,Preferente,Manta,8,347,0953536830,False,1,3,False
A00212,Masivo,Manta,92,683,0967805802,False,2,7,False
A00213,Preferente,Ambato,136,721,0985957578,False,2,1,False
A00214,Preferente,Cuenca,45,380,0991804602,False,2,7,False
A00215,Pyme,Riobamba,175,546,0976795767,False,1,1,False
A00216,Preferente,Ambato,119,560,0971682508,False,1,0,False
A00217,Corporativo,Quito,120,594,0983363160,False,2,4,True
A00218,Preferente,Guayaquil,114,653,0988862539,False,2,4,True
A00219,Corporativo,Loja,177,556,0971315464,False,1,1,False
A00220,Corporativo,Ambato,99,794,0924314759,False,1,4,False
A00221,Preferente,Loja,147,667,0987149951,False,2,4,False
A00222,Corporativo,Manta,6,705,0946840133,False,2,1,False
A00223,Masivo,Riobamba,176,350,0991390501,False,1,3,False
A00224,Pyme,Manta,59,660,0939394291,False,1,3,False
A00225,Preferente,Riobamba,65,440,0994322033,False,1,1,False
A00226,Masivo,Quito,80,751,0914478111,False,2,2,False
A00227,Corporativo,Cuenca,24,602,0953851498,False,2,2,True
A00228,Pyme,Cuenca,52,435,0982398083,False,2,2,False
A00229,Corporativo,Portoviejo,129,579,0932084778,False,2,7,False
A00230,Corporativo,Santo Domingo,76,646,0925457816,False,2,2,True
A00231,Pyme,Guayaquil,37,531,0963339667,False,2,8,True
A00232,Corporativo,Guayaquil,102,314,0945495029,False,2,6,False
A00233,Masivo,Santo Domingo,95,568,0988458327,False,1,3,False
A00234,Pyme,Machala,28,539,0973280554,False,2,7,False
A00235,Masivo,Riobamba,144,635,0991883846,False,2,1,False
A00236,Preferente,Guayaquil,163,775,0950559278,False,2,6,False
A00237,Pyme,Guayaquil,36,346,0914994527,False,1,4,False
A00238,Corporativo,Santo Domingo,30,399,0941514326,False,2,3,False
A00239,Preferente,Loja,117,679,0999991136,False,1,2,True
A00240,Pyme,Riobamba,40,724,0997902129,False,1,0,True
A00241,Masivo,Santo Domingo,158,717,0947546086,False,1,0,False
A00242,Masivo,Machala,56,754,0969686067,False,1,5,False
A00243,Preferente,Machala,26,676,0983076970,False,2,4,False
A00244,Corporativo,Quito,102,582,0935475673,False,1,1,False
A00245,Masivo,Santo Domingo,24,517,0996128115,False,1,3,False
A00246,Masivo,Quito,86,549,0926901217,False,1,1,False
A00247,Preferente,Guayaquil,142,512,0988703005,False,1,1,False
A00248,Preferente,Ambato,85,451,0989991301,False,1,1,False
A00249,Masivo,Manta,38,433,0982506491,False,2,1,False
A00250,Corporativo,Cuenca,29,326,0927690330,False,2,3,False
A00251,Masivo,Machala,61,631,0912118101,False,1,1,False
A00252,Preferente,Manta,14,429,0966500369,False,2,5,False
A00253,Masivo,Guayaquil,122,759,0958592048,False,2,2,False
A00254,Masivo,Santo Domingo,129,526,0992558242,False,1,1,False
A00255,Masivo,Portoviejo,78,769,0996347724,False,2,3,False
A00256,Masivo,Quito,123,711,0967213476,False,2,3,False
A00257,Masivo,Santo Domingo,114,375,0920843514,False,2,4,False
A00258,Corporativo,Riobamba,38,367,0926937148,False,1,2,True
A00259,Corporativo,Riobamba,163,899,0983599154,False,2,3,True
A00260,Corporativo,Loja,153,843,0949580505,False,2,3,False
A00261,Pyme,Portoviejo,155,740,0923311507,False,2,5,True
A00262,Masivo,Portoviejo,56,740,0970606674,False,2,1,False
A00263,Preferente,Loja,87,764,0963516659,False,1,2,False
A00264,Pyme,Guayaquil,81,737,0951946203,False,1,3,True
A00265,Corporativo,Machala,40,785,0919010480,False,1,2,False
A00266,Masivo,Guayaquil,24,742,0922960658,False,2,3,False
A00267,Corporativo,Cuenca,143,361,0988714010,False,1,0,False
A00268,Corporativo,Guayaquil,106,662,0999300492,False,1,3,False
A00269,Pyme,Quito,74,619,0957197152,False,1,0,True
A00270,Masivo,Riobamba,130,517,0930767532,False,2,5,True
A00271,Pyme,Ambato,28,658,0984660688,False,2,2,True
A00272,Corporativo,Guayaquil,72,887,0940354559,False,1,2,False
A00273,Pyme,Portoviejo,160,870,0913523729,False,2,6,True
A00274,Corporativo,Quito,47,579,0951471222,False,2,2,False
A00275,Corporativo,Machala,2,485,0929226889,False,1,4,False
A00276,Pyme,Guayaquil,37,331,0922315507,False,2,1,False
A00277,Preferente,Loja,108,764,0955754284,False,1,1,False
A00278,Preferente,Machala,80,632,0986181117,False,2,2,False
A00279,Masivo,Quito,40,461,0992924837,False,1,2,False
A00280,Masivo,Guayaquil,70,753,0998843907,False,2,1,False
A00281,Pyme,Santo Domingo,156,752,0965590800,False,1,3,True
A00282,Corporativo,Ambato,132,416,0956328316,False,1,0,False
A00283,Pyme,Guayaquil,73,798,0980723898,False,1,1,False
A00284,Corporativo,Quito,57,704,0990440034,False,2,7,False
A00285,Masivo,Quito,53,608,0938351344,False,2,1,False
A00286,Preferente,Manta,75,635,0926104026,False,1,1,False
A00287,Masivo,Santo Domingo,111,479,0927339011,False,2,3,True
A00288,Pyme,Portoviejo,59,812,0984990607,False,2,4,False
A00289,Corporativo,Guayaquil,102,343,0968548403,False,2,1,False
A00290,Masivo,Santo Domingo,20,620,0987277086,False,2,4,True
A00291,Pyme,Riobamba,104,727,0948858073,False,1,0,False
A00292,Masivo,Loja,6,632,0933068427,False,2,4,True
A00293,Pyme,Machala,23,747,0924208709,False,2,3,False
A00294,Preferente,Loja,151,710,0980325062,False,1,3,True
A00295,Masivo,Loja,80,647,0939738898,False,1,1,False
A00296,Corporativo,Cuenca,20,822,0994989976,False,2,3,False
A00297,Masivo,Portoviejo,131,498,0956892354,False,2,3,False
A00298,Corporativo,Cuenca,61,405,0929655410,False,1,0,False
A00299,Corporativo,Ambato,45,456,0997980930,False,1,4,False
A00300,Masivo,Cuenca,161,805,0972270726,False,2,3,False
A00301,Pyme,Riobamba,165,630,0994183695,False,1,1,False
A00302,Corporativo,Cuenca,113,369,0972937522,False,2,2,True
A00303,Pyme,Manta,71,357,0957236885,False,1,0,False
A00304,Masivo,Manta,119,762,0915047559,False,1,1,False
A00305,Masivo,Machala,74,378,0996525668,False,2,7,False
A00306,Masivo,Riobamba,153,819,0961604364,False,1,3,False
A00307,Pyme,Riobamba,142,342,0970362235,False,1,1,False
A00308,Preferente,Machala,155,787,0977292380,False,1,0,False
A00309,Preferente,Quito,116,405,0956095437,False,1,3,False
A00310,Masivo,Portoviejo,166,476,0915253567,False,1,0,True
A00311,Preferente,Santo Domingo,113,836,0980162053,False,1,1,False
A00312,Preferente,Machala,96,589,0961998170,False,2,3,False
A00313,Pyme,Machala,174,353,0994676162,False,2,2,False
A00314,Corporativo,Guayaquil,85,396,0984888554,False,1,4,False
A00315,Pyme,Manta,65,453,0954743095,False,2,1,False
A00316,Masivo,Riobamba,170,444,0956952151,False,1,0,False
A00317,Corporativo,Loja,34,386,0951551377,False,1,0,False
A00318,Pyme,Machala,33,839,0922543044,False,1,2,False
A00319,Pyme,Portoviejo,93,318,0958667035,False,2,2,False
A00320,Corporativo,Cuenca,55,649,0975266178,False,1,2,False
A00321,Preferente,Ambato,36,458,0920356922,False,1,1,False
A00322,Corporativo,Guayaquil,130,852,0980669879,False,1,5,False
A00323,Masivo,Machala,159,434,0990161060,False,2,2,False
A00324,Pyme,Cuenca,42,485,0993851247,False,1,2,False
A00325,Preferente,Santo Domingo,12,720,0958895439,False,2,2,False
A00326,Preferente,Santo Domingo,157,591,0970254091,False,2,1,False
A00327,Preferente,Portoviejo,62,616,0972950208,False,2,0,False
A00328,Preferente,Machala,174,884,0969135982,False,1,5,False
A00329,Pyme,Manta,98,814,0980794454,False,2,3,False
A00330,Pyme,Cuenca,52,441,0943554863,False,1,5,False
A00331,Masivo,Santo Domingo,96,867,0923769360,False,2,3,False
A00332,Masivo,Manta,22,464,0946613428,False,2,5,False
A00333,Pyme,Portoviejo,38,747,0922309586,False,1,3,False
A00334,Preferente,Santo Domingo,90,327,0965686520,False,1,4,False
A00335,Masivo,Loja,129,682,0941645597,False,2,0,True
A00336,Pyme,Guayaquil,96,529,0913783268,False,2,4,False
A00337,Corporativo,Guayaquil,167,643,0929602406,False,2,8,True
A00338,Preferente,Quito,74,783,0928628439,False,2,1,False
A00339,Pyme,Santo Domingo,158,305,0920633503,False,2,3,True
A00340,Masivo,Manta,56,453,0983659258,False,1,1,False
A00341,Pyme,Guayaquil,74,543,0950419829,False,1,4,True
A00342,Masivo,Quito,62,729,0995758649,False,1,2,False
A00343,Pyme,Guayaquil,29,811,0990092958,False,1,0,False
A00344,Masivo,Portoviejo,148,547,0929270557,False,2,4,False
A00345,Corporativo,Loja,1,661,0942287985,False,2,2,False
A00346,Pyme,Cuenca,171,387,0980260907,False,2,8,False
A00347,Corporativo,Guayaquil,135,857,0978092370,False,2,1,False
A00348,Masivo,Loja,121,344,0995318289,False,1,3,False
A00349,Pyme,Machala,65,316,0957928328,False,1,1,False
A00350,Masivo,Machala,62,406,0988101741,False,2,5,True
A00351,Corporativo,Cuenca,12,660,0983284724,False,2,2,False
A00352,Corporativo,Cuenca,176,775,0974227366,False,2,1,False
A00353,Preferente,Cuenca,17,768,0914963880,False,1,4,False
A00354,Corporativo,Ambato,12,504,0915624520,False,1,4,False
A00355,Corporativo,Manta,132,707,0982884346,False,1,0,False
A00356,Pyme,Manta,10,495,0948401154,False,1,1,False
A00357,Corporativo,Quito,168,639,0946670512,False,2,4,False
A00358,Masivo,Machala,112,709,0969020451,False,2,5,False
A00359,Pyme,Machala,48,808,0976776459,False,2,4,False
A00360,Corporativo,Portoviejo,69,384,0966975380,False,1,1,False
A00361,Masivo,Loja,155,484,0983212334,False,1,2,False
A00362,Corporativo,Machala,27,381,0954012664,False,2,3,True
A00363,Corporativo,Manta,115,736,0932366682,False,2,2,True
A00364,Pyme,Machala,115,343,0957319709,False,2,4,True
A00365,Pyme,Manta,164,358,0920071854,False,2,4,False
A00366,Pyme,Machala,132,463,0914179623,False,1,1,False
A00367,Preferente,Riobamba,174,748,0914670638,False,2,1,False
A00368,Preferente,Guayaquil,61,675,0958607028,False,2,2,False
A00369,Pyme,Riobamba,9,457,0970387584,False,2,1,False
A00370,Corporativo,Machala,114,378,0987030477,False,2,0,False
A00371,Preferente,Portoviejo,94,707,0952196099,False,2,3,False
A00372,Corporativo,Ambato,30,326,0934970946,False,1,1,False
A00373,Pyme,Portoviejo,100,875,0925805613,False,1,1,False
A00374,Corporativo,Manta,115,519,0992124765,False,1,2,False
A00375,Corporativo,Santo Domingo,52,425,0928217159,False,2,2,False
A00376,Masivo,Santo Domingo,45,755,0921783073,False,1,1,True
A00377,Corporativo,Machala,17,863,0982769008,False,1,1,False
A00378,Corporativo,Manta,41,478,0958518659,False,2,1,False
A00379,Preferente,Guayaquil,52,442,0941774192,False,2,5,False
A00380,Pyme,Quito,93,867,0986809773,False,2,8,False
A00381,Corporativo,Santo Domingo,142,432,0992134318,False,2,3,False
A00382,Masivo,Guayaquil,80,707,0974245343,False,1,2,False
A00383,Pyme,Loja,148,375,0926821075,False,1,2,False
A00384,Corporativo,Guayaquil,116,777,0979438885,False,1,3,False
A00385,Corporativo,Cuenca,142,486,0927318510,False,1,4,False
A00386,Pyme,Portoviejo,15,427,0979538491,False,1,2,False
A00387,Preferente,Manta,43,465,0953306792,False,1,5,False
A00388,Preferente,Machala,133,590,0920584397,False,2,4,False
A00389,Corporativo,Ambato,163,864,0946836194,False,1,3,True
A00390,Preferente,Manta,158,846,0922539748,False,1,2,False
A00391,Preferente,Riobamba,149,457,0932978158,False,2,3,False
A00392,Corporativo,Riobamba,11,329,0920901547,False,2,1,True
A00393,Masivo,Riobamba,68,515,0986790955,False,2,1,False
A00394,Pyme,Riobamba,164,331,0976845536,False,2,2,False
A00395,Corporativo,Manta,124,550,0964504816,False,2,5,True
A00396,Corporativo,Santo Domingo,19,361,0931217198,False,1,5,False
A00397,Pyme,Loja,124,775,0937383505,False,2,3,False
A00398,Corporativo,Riobamba,37,620,0952857920,False,2,3,False
A00399,Corporativo,Loja,34,679,0979119463,False,2,3,False
A00400,Masivo,Machala,62,777,0926444612,False,2,3,False
A00401,Corporativo,Santo Domingo,64,444,0922993840,False,2,4,False
A00402,Masivo,Manta,99,728,0943322272,False,1,2,False
A00403,Preferente,Machala,148,620,0935479101,False,1,1,False
A00404,Preferente,Santo Domingo,132,778,0976942394,False,2,4,True
A00405,Corporativo,Santo Domingo,6,392,0962780072,False,2,6,False
A00406,Pyme,Ambato,56,897,0957364777,False,2,7,False
A00407,Masivo,Quito,73,806,0990197611,False,1,0,False
A00408,Pyme,Manta,138,308,0924428014,False,1,2,False
A00409,Pyme,Cuenca,68,674,0964123845,False,1,2,True
A00410,Corporativo,Quito,103,352,0986541906,False,2,4,False
A00411,Preferente,Machala,142,595,0919869264,False,1,0,False
A00412,Pyme,Portoviejo,116,863,0947543473,False,2,1,False
A00413,Masivo,Cuenca,25,703,0960089832,False,2,2,True
A00414,Corporativo,Portoviejo,94,447,0936717096,False,2,5,False
A00415,Pyme,Portoviejo,11,346,0915222944,False,1,0,True
A00416,Preferente,Machala,122,831,0971335966,False,2,0,False
A00417,Preferente,Riobamba,132,443,0954018830,False,2,5,True
A00418,Corporativo,Cuenca,101,606,0989688374,False,1,0,False
A00419,Corporativo,Portoviejo,131,845,0975746104,False,1,1,False
A00420,Corporativo,Santo Domingo,5,677,0954458225,False,1,3,False
A00421,Masivo,Loja,150,615,0994457912,False,1,1,False
A00422,Masivo,Riobamba,122,571,0997991930,False,1,4,True
A00423,Preferente,Quito,150,791,0932885741,False,2,5,True
A00424,Pyme,Cuenca,175,548,0914237322,False,1,2,True
A00425,Masivo,Ambato,5,751,0952103092,False,2,4,False
A00426,Pyme,Cuenca,106,508,0965079923,False,2,3,False
A00427,Pyme,Quito,36,831,0937828932,False,2,5,False
A00428,Corporativo,Santo Domingo,135,685,0952111160,False,1,2,False
A00429,Preferente,Santo Domingo,137,650,0983319550,False,1,1,True
A00430,Corporativo,Manta,157,795,0935805259,False,1,0,False
A00431,Preferente,Manta,143,605,0940181142,False,2,3,False
A00432,Corporativo,Manta,54,800,0952552488,False,1,0,False
A00433,Pyme,Machala,144,580,0948626436,False,2,1,False
A00434,Masivo,Riobamba,174,856,0960961690,False,1,2,False
A00435,Pyme,Machala,38,597,0915646068,False,2,6,True
A00436,Corporativo,Guayaquil,89,752,0998043078,False,2,3,False
